rank	word	wordlength	count	frequenz(count*100/253)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	quid	4	8	3.1621	3.1621	8	8
2	est	3	5	1.9763	5.1383	10	4
2	non	3	5	1.9763	7.1146	10	4
2	me	2	5	1.9763	9.0909	10	4
3	ut	2	4	1.581	10.6719	12	2.7
3	in	2	4	1.581	12.253	12	2.7
3	geta	4	4	1.581	13.834	12	2.7
4	qui	3	3	1.1858	15.0198	12	2
4	te	2	3	1.1858	16.2055	12	2
4	miseram	7	3	1.1858	17.3913	12	2
5	quo	3	2	0.7905	18.1818	10	1.6
5	esse	4	2	0.7905	18.9723	10	1.6
5	se	2	2	0.7905	19.7628	10	1.6
5	siet	4	2	0.7905	20.5534	10	1.6
5	tu	2	2	0.7905	21.3439	10	1.6
5	et	2	2	0.7905	22.1344	10	1.6
5	quae	4	2	0.7905	22.9249	10	1.6
5	rem	3	2	0.7905	23.7154	10	1.6
5	ego	3	2	0.7905	24.5059	10	1.6
5	sum	3	2	0.7905	25.2964	10	1.6
5	neque	5	2	0.7905	26.087	10	1.6
5	hanc	4	2	0.7905	26.8775	10	1.6
5	aut	3	2	0.7905	27.668	10	1.6
5	sit	3	2	0.7905	28.4585	10	1.6
5	iam	3	2	0.7905	29.249	10	1.6
5	is	2	2	0.7905	30.0395	10	1.6
5	potest	6	2	0.7905	30.83	10	1.6
5	nobis	5	2	0.7905	31.6206	10	1.6
5	mea	3	2	0.7905	32.4111	10	1.6
5	hoc	3	2	0.7905	33.2016	10	1.6
5	ah	2	2	0.7905	33.9921	10	1.6
5	credas	6	2	0.7905	34.7826	10	1.6
5	mihi	4	2	0.7905	35.5731	10	1.6
5	obsecro	7	2	0.7905	36.3636	10	1.6
5	nec	3	2	0.7905	37.1542	10	1.6
5	aeschinum	9	2	0.7905	37.9447	10	1.6
5	quem	4	2	0.7905	38.7352	10	1.6
5	obstetricem	11	2	0.7905	39.5257	10	1.6
5	ita	3	2	0.7905	40.3162	10	1.6
5	nunc	4	2	0.7905	41.1067	10	1.6
6	erat	4	1	0.3953	41.502	6	1.3
6	accerse	7	1	0.3953	41.8972	6	1.3
6	secunda	7	1	0.3953	42.2925	6	1.3
6	ei	2	1	0.3953	42.6877	6	1.3
6	dos	3	1	0.3953	43.083	6	1.3
6	canthara	8	1	0.3953	43.4783	6	1.3
6	periit	6	1	0.3953	43.8735	6	1.3
6	curre	5	1	0.3953	44.2688	6	1.3
6	praeterea	9	1	0.3953	44.664	6	1.3
6	propera	7	1	0.3953	45.0593	6	1.3
6	pro	3	1	0.3953	45.4545	6	1.3
6	maxume	6	1	0.3953	45.8498	6	1.3
6	virgini	7	1	0.3953	46.2451	6	1.3
6	coluit	6	1	0.3953	46.6403	6	1.3
6	quom	4	1	0.3953	47.0356	6	1.3
6	huiu	4	1	0.3953	47.4308	6	1.3
6	tum	3	1	0.3953	47.8261	6	1.3
6	peiore	6	1	0.3953	48.2213	6	1.3
6	uxorem	6	1	0.3953	48.6166	6	1.3
6	ducere	6	1	0.3953	49.0119	6	1.3
6	minime	6	1	0.3953	49.4071	6	1.3
6	gentium	7	1	0.3953	49.8024	6	1.3
6	faciam	6	1	0.3953	50.1976	6	1.3
6	proferam	8	1	0.3953	50.5929	6	1.3
6	res	3	1	0.3953	50.9881	6	1.3
6	dari	4	1	0.3953	51.3834	6	1.3
6	loco	4	1	0.3953	51.7787	6	1.3
6	ne	2	1	0.3953	52.1739	6	1.3
6	potis	5	1	0.3953	52.5692	6	1.3
6	quam	4	1	0.3953	52.9644	6	1.3
6	sitast	6	1	0.3953	53.3597	6	1.3
6	opu	3	1	0.3953	53.7549	6	1.3
6	primum	6	1	0.3953	54.1502	6	1.3
6	indotatast	10	1	0.3953	54.5455	6	1.3
6	relicuomst	10	1	0.3953	54.9407	6	1.3
6	nuptum	6	1	0.3953	55.336	6	1.3
6	ordine	6	1	0.3953	55.7312	6	1.3
6	nostro	6	1	0.3953	56.1265	6	1.3
6	nam	3	1	0.3953	56.5217	6	1.3
6	ullam	5	1	0.3953	56.917	6	1.3
6	intercessisse	13	1	0.3953	57.3123	6	1.3
6	illa	4	1	0.3953	57.7075	6	1.3
6	indignam	8	1	0.3953	58.1028	6	1.3
6	experiar	8	1	0.3953	58.498	6	1.3
6	simulo	6	1	0.3953	58.8933	6	1.3
6	quantum	7	1	0.3953	59.2885	6	1.3
6	abi	3	1	0.3953	59.6838	6	1.3
6	atque	5	1	0.3953	60.0791	6	1.3
6	omnem	5	1	0.3953	60.4743	6	1.3
6	hegioni	7	1	0.3953	60.8696	6	1.3
6	cognato	7	1	0.3953	61.2648	6	1.3
6	pretium	7	1	0.3953	61.6601	6	1.3
6	fuit	4	1	0.3953	62.0553	6	1.3
6	enarrato	8	1	0.3953	62.4506	6	1.3
6	anulus	6	1	0.3953	62.8458	6	1.3
6	si	2	1	0.3953	63.2411	6	1.3
6	infitias	8	1	0.3953	63.6364	6	1.3
6	nos	3	1	0.3953	64.0316	6	1.3
6	ibit	4	1	0.3953	64.4269	6	1.3
6	testi	5	1	0.3953	64.8221	6	1.3
6	mecum	5	1	0.3953	65.2174	6	1.3
6	miserat	7	1	0.3953	65.6126	6	1.3
6	summus	6	1	0.3953	66.0079	6	1.3
6	postremo	8	1	0.3953	66.4032	6	1.3
6	quando	6	1	0.3953	66.7984	6	1.3
6	conscia	7	1	0.3953	67.1937	6	1.3
6	a	1	1	0.3953	67.5889	6	1.3
6	culpam	6	1	0.3953	67.9842	6	1.3
6	procul	6	1	0.3953	68.3794	6	1.3
6	sibi	4	1	0.3953	68.7747	6	1.3
6	sitae	5	1	0.3953	69.17	6	1.3
6	liceret	7	1	0.3953	69.5652	6	1.3
6	properantem	11	1	0.3953	69.9605	6	1.3
6	quaeso	6	1	0.3953	70.3557	6	1.3
6	quidnam	7	1	0.3953	70.751	6	1.3
6	quod	4	1	0.3953	71.1462	6	1.3
6	sic	3	1	0.3953	71.5415	6	1.3
6	video	5	1	0.3953	71.9368	6	1.3
6	timidum	7	1	0.3953	72.332	6	1.3
6	getam	5	1	0.3953	72.7273	6	1.3
6	salvo	5	1	0.3953	73.1225	6	1.3
6	intellego	9	1	0.3953	73.5178	6	1.3
6	satius	6	1	0.3953	73.913	6	1.3
6	loquitur	8	1	0.3953	74.3083	6	1.3
6	revocemus	9	1	0.3953	74.7036	6	1.3
6	sostrata	8	1	0.3953	75.0988	6	1.3
6	exspecto	8	1	0.3953	75.4941	6	1.3
6	oppido	6	1	0.3953	75.8893	6	1.3
6	deos	4	1	0.3953	76.2846	6	1.3
6	dici	4	1	0.3953	76.6798	6	1.3
6	obtulisti	9	1	0.3953	77.0751	6	1.3
6	hic	3	1	0.3953	77.4704	6	1.3
6	nutrix	6	1	0.3953	77.8656	6	1.3
6	fiet	4	1	0.3953	78.2609	6	1.3
6	neminem	7	1	0.3953	78.6561	6	1.3
6	habeo	5	1	0.3953	79.0514	6	1.3
6	solae	5	1	0.3953	79.4466	6	1.3
6	sumu	4	1	0.3953	79.8419	6	1.3
6	autem	5	1	0.3953	80.2372	6	1.3
6	adest	5	1	0.3953	80.6324	6	1.3
6	pol	3	1	0.3953	81.0277	6	1.3
6	ad	2	1	0.3953	81.4229	6	1.3
6	mittam	6	1	0.3953	81.8182	6	1.3
6	accersat	8	1	0.3953	82.2134	6	1.3
6	solu	4	1	0.3953	82.6087	6	1.3
6	mearum	6	1	0.3953	83.004	6	1.3
6	miseriarumst	12	1	0.3953	83.3992	6	1.3
6	remedium	8	1	0.3953	83.7945	6	1.3
6	opportune	9	1	0.3953	84.1897	6	1.3
6	mi	2	1	0.3953	84.585	6	1.3
6	obsecraturum	12	1	0.3953	84.9802	6	1.3
6	numquam	7	1	0.3953	85.3755	6	1.3
6	opesque	7	1	0.3953	85.7708	6	1.3
6	omnes	5	1	0.3953	86.166	6	1.3
6	erant	5	1	0.3953	86.5613	6	1.3
6	sine	4	1	0.3953	86.9565	6	1.3
6	hac	3	1	0.3953	87.3518	6	1.3
6	iurabat	7	1	0.3953	87.747	6	1.3
6	unum	4	1	0.3953	88.1423	6	1.3
6	victurum	8	1	0.3953	88.5375	6	1.3
6	nostrae	7	1	0.3953	88.9328	6	1.3
6	diem	4	1	0.3953	89.3281	6	1.3
6	sui	3	1	0.3953	89.7233	6	1.3
6	gremio	6	1	0.3953	90.1186	6	1.3
6	positurum	9	1	0.3953	90.5138	6	1.3
6	puerum	6	1	0.3953	90.9091	6	1.3
6	dicebat	7	1	0.3953	91.3043	6	1.3
6	patris	6	1	0.3953	91.6996	6	1.3
6	spes	4	1	0.3953	92.0949	6	1.3
6	omnium	6	1	0.3953	92.4901	6	1.3
6	obviam	6	1	0.3953	92.8854	6	1.3
6	perii	5	1	0.3953	93.2806	6	1.3
6	trepidas	8	1	0.3953	93.6759	6	1.3
6	istuc	5	1	0.3953	94.0711	6	1.3
6	prorsus	7	1	0.3953	94.4664	6	1.3
6	ergost	6	1	0.3953	94.8617	6	1.3
6	eloquere	8	1	0.3953	95.2569	6	1.3
6	ergo	4	1	0.3953	95.6522	6	1.3
6	hem	3	1	0.3953	96.0474	6	1.3
6	quare	5	1	0.3953	96.4427	6	1.3
6	vitam	5	1	0.3953	96.8379	6	1.3
6	vae	3	1	0.3953	97.2332	6	1.3
6	miserae	7	1	0.3953	97.6285	6	1.3
6	satin	5	1	0.3953	98.0237	6	1.3
6	certumst	8	1	0.3953	98.419	6	1.3
6	quoi	4	1	0.3953	98.8142	6	1.3
6	nostrumne	9	1	0.3953	99.2095	6	1.3
6	nostram	7	1	0.3953	99.6047	6	1.3
6	mora	4	1	0.3953	100	6	1.3
