rank	word	wordlength	count	frequenz(count*100/957)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	quid	4	18	1.8809	1.8809	18	18
2	ut	2	12	1.2539	3.1348	24	9
2	esse	4	12	1.2539	4.3887	24	9
3	tu	2	11	1.1494	5.5381	33	6
4	in	2	10	1.0449	6.5831	40	4.5
4	te	2	10	1.0449	7.628	40	4.5
5	ego	3	9	0.9404	8.5684	45	3.6
6	tibi	4	8	0.8359	9.4044	48	3
6	qui	3	8	0.8359	10.2403	48	3
6	ita	3	8	0.8359	11.0763	48	3
6	est	3	8	0.8359	11.9122	48	3
6	id	2	8	0.8359	12.7482	48	3
7	quod	4	7	0.7315	13.4796	49	2.6
7	hoc	3	7	0.7315	14.2111	49	2.6
7	quem	4	7	0.7315	14.9425	49	2.6
7	pol	3	7	0.7315	15.674	49	2.6
7	non	3	7	0.7315	16.4054	49	2.6
7	et	2	7	0.7315	17.1369	49	2.6
7	ad	2	7	0.7315	17.8683	49	2.6
7	hunc	4	7	0.7315	18.5998	49	2.6
7	ubi	3	7	0.7315	19.3312	49	2.6
7	obsecro	7	7	0.7315	20.0627	49	2.6
7	nos	3	7	0.7315	20.7941	49	2.6
8	nunc	4	6	0.627	21.4211	48	2.3
8	neque	5	6	0.627	22.0481	48	2.3
8	etiam	5	6	0.627	22.675	48	2.3
8	si	2	6	0.627	23.302	48	2.3
8	iam	3	6	0.627	23.9289	48	2.3
8	virginem	8	6	0.627	24.5559	48	2.3
8	illi	4	6	0.627	25.1829	48	2.3
8	me	2	6	0.627	25.8098	48	2.3
8	amabo	5	6	0.627	26.4368	48	2.3
9	credo	5	5	0.5225	26.9592	45	2
9	quae	4	5	0.5225	27.4817	45	2
9	illum	5	5	0.5225	28.0042	45	2
9	mihi	4	5	0.5225	28.5266	45	2
9	hic	3	5	0.5225	29.0491	45	2
9	misera	6	5	0.5225	29.5716	45	2
9	an	2	5	0.5225	30.094	45	2
9	ne	2	5	0.5225	30.6165	45	2
10	quicquam	8	4	0.418	31.0345	40	1.8
10	hominem	7	4	0.418	31.4525	40	1.8
10	vero	4	4	0.418	31.8704	40	1.8
10	at	2	4	0.418	32.2884	40	1.8
10	ipsa	4	4	0.418	32.7064	40	1.8
10	numquam	7	4	0.418	33.1243	40	1.8
10	tum	3	4	0.418	33.5423	40	1.8
10	nam	3	4	0.418	33.9603	40	1.8
10	atque	5	4	0.418	34.3783	40	1.8
10	ille	4	4	0.418	34.7962	40	1.8
10	quam	4	4	0.418	35.2142	40	1.8
10	intro	5	4	0.418	35.6322	40	1.8
10	nil	3	4	0.418	36.0502	40	1.8
10	pro	3	4	0.418	36.4681	40	1.8
10	o	1	4	0.418	36.8861	40	1.8
10	sed	3	4	0.418	37.3041	40	1.8
11	phaedria	8	3	0.3135	37.6176	33	1.6
11	vide	4	3	0.3135	37.931	33	1.6
11	eius	4	3	0.3135	38.2445	33	1.6
11	era	3	3	0.3135	38.558	33	1.6
11	quom	4	3	0.3135	38.8715	33	1.6
11	nescio	6	3	0.3135	39.185	33	1.6
11	rogitas	7	3	0.3135	39.4984	33	1.6
11	parmenonem	10	3	0.3135	39.8119	33	1.6
11	nobis	5	3	0.3135	40.1254	33	1.6
11	factum	6	3	0.3135	40.4389	33	1.6
11	adulescentulum	14	3	0.3135	40.7524	33	1.6
11	sati	4	3	0.3135	41.0658	33	1.6
11	mi	2	3	0.3135	41.3793	33	1.6
11	tam	3	3	0.3135	41.6928	33	1.6
11	tace	4	3	0.3135	42.0063	33	1.6
11	paullum	7	3	0.3135	42.3197	33	1.6
11	isti	4	3	0.3135	42.6332	33	1.6
11	parmeno	7	3	0.3135	42.9467	33	1.6
11	hodie	5	3	0.3135	43.2602	33	1.6
12	iste	4	2	0.209	43.4692	24	1.5
12	senex	5	2	0.209	43.6782	24	1.5
12	iube	4	2	0.209	43.8871	24	1.5
12	chaerea	7	2	0.209	44.0961	24	1.5
12	faciam	6	2	0.209	44.3051	24	1.5
12	denuo	5	2	0.209	44.5141	24	1.5
12	sit	3	2	0.209	44.7231	24	1.5
12	gratiam	7	2	0.209	44.9321	24	1.5
12	frater	6	2	0.209	45.1411	24	1.5
12	video	5	2	0.209	45.3501	24	1.5
12	venit	5	2	0.209	45.559	24	1.5
12	atqui	5	2	0.209	45.768	24	1.5
12	virgo	5	2	0.209	45.977	24	1.5
12	indicat	7	2	0.209	46.186	24	1.5
12	res	3	2	0.209	46.395	24	1.5
12	adduxit	7	2	0.209	46.604	24	1.5
12	fuisse	6	2	0.209	46.813	24	1.5
12	eho	3	2	0.209	47.0219	24	1.5
12	dicam	5	2	0.209	47.2309	24	1.5
12	eam	3	2	0.209	47.4399	24	1.5
12	vidit	5	2	0.209	47.6489	24	1.5
12	eum	3	2	0.209	47.8579	24	1.5
12	referam	7	2	0.209	48.0669	24	1.5
12	ex	2	2	0.209	48.2759	24	1.5
12	siet	4	2	0.209	48.4848	24	1.5
12	certe	5	2	0.209	48.6938	24	1.5
12	erat	4	2	0.209	48.9028	24	1.5
12	modis	5	2	0.209	49.1118	24	1.5
12	mentem	6	2	0.209	49.3208	24	1.5
12	abeo	4	2	0.209	49.5298	24	1.5
12	verum	5	2	0.209	49.7388	24	1.5
12	scis	4	2	0.209	49.9478	24	1.5
12	videre	6	2	0.209	50.1567	24	1.5
12	istum	5	2	0.209	50.3657	24	1.5
12	huc	3	2	0.209	50.5747	24	1.5
12	de	2	2	0.209	50.7837	24	1.5
12	modo	4	2	0.209	50.9927	24	1.5
12	sese	4	2	0.209	51.2017	24	1.5
12	vidi	4	2	0.209	51.4107	24	1.5
12	exempla	7	2	0.209	51.6196	24	1.5
12	nisi	4	2	0.209	51.8286	24	1.5
12	eccum	5	2	0.209	52.0376	24	1.5
12	rogas	5	2	0.209	52.2466	24	1.5
12	inveniam	8	2	0.209	52.4556	24	1.5
12	inpudens	8	2	0.209	52.6646	24	1.5
12	videtur	7	2	0.209	52.8736	24	1.5
12	hinc	4	2	0.209	53.0825	24	1.5
12	dare	4	2	0.209	53.2915	24	1.5
12	edepol	6	2	0.209	53.5005	24	1.5
12	dorias	6	2	0.209	53.7095	24	1.5
12	civem	5	2	0.209	53.9185	24	1.5
12	miserae	7	2	0.209	54.1275	24	1.5
12	omnem	5	2	0.209	54.3365	24	1.5
12	involem	7	2	0.209	54.5455	24	1.5
12	ipsum	5	2	0.209	54.7544	24	1.5
12	quaeram	7	2	0.209	54.9634	24	1.5
12	eunuchum	8	2	0.209	55.1724	24	1.5
12	istuc	5	2	0.209	55.3814	24	1.5
12	vestem	6	2	0.209	55.5904	24	1.5
12	dono	4	2	0.209	55.7994	24	1.5
12	insuper	7	2	0.209	56.0084	24	1.5
12	dum	3	2	0.209	56.2173	24	1.5
12	vitiavit	8	2	0.209	56.4263	24	1.5
12	perii	5	2	0.209	56.6353	24	1.5
12	facinu	6	2	0.209	56.8443	24	1.5
12	quin	4	2	0.209	57.0533	24	1.5
12	certumst	8	2	0.209	57.2623	24	1.5
12	sic	3	2	0.209	57.4713	24	1.5
13	foedum	6	1	0.1045	57.5758	13	1.4
13	fidem	5	1	0.1045	57.6803	13	1.4
13	inpune	6	1	0.1045	57.7847	13	1.4
13	deum	4	1	0.1045	57.8892	13	1.4
13	inluseris	9	1	0.1045	57.9937	13	1.4
13	ulciscar	8	1	0.1045	58.0982	13	1.4
13	apage	5	1	0.1045	58.2027	13	1.4
13	servare	7	1	0.1045	58.3072	13	1.4
13	ausim	5	1	0.1045	58.4117	13	1.4
13	audaciam	8	1	0.1045	58.5162	13	1.4
13	servandum	9	1	0.1045	58.6207	13	1.4
13	dabit	5	1	0.1045	58.7252	13	1.4
13	recipere	8	1	0.1045	58.8297	13	1.4
13	posthac	7	1	0.1045	58.9342	13	1.4
13	crede	5	1	0.1045	59.0387	13	1.4
13	ecfugi	6	1	0.1045	59.1432	13	1.4
13	meae	4	1	0.1045	59.2476	13	1.4
13	fidei	5	1	0.1045	59.3521	13	1.4
13	viderem	7	1	0.1045	59.4566	13	1.4
13	itaque	6	1	0.1045	59.5611	13	1.4
13	miseret	7	1	0.1045	59.6656	13	1.4
13	infelicem	9	1	0.1045	59.7701	13	1.4
13	pugnam	6	1	0.1045	59.8746	13	1.4
13	aliquam	7	1	0.1045	59.9791	13	1.4
13	parum	5	1	0.1045	60.0836	13	1.4
13	perspexisse	11	1	0.1045	60.1881	13	1.4
13	possit	6	1	0.1045	60.2926	13	1.4
13	scelestum	9	1	0.1045	60.3971	13	1.4
13	commissum	9	1	0.1045	60.5016	13	1.4
13	erit	4	1	0.1045	60.6061	13	1.4
13	venire	6	1	0.1045	60.7106	13	1.4
13	exibo	5	1	0.1045	60.815	13	1.4
13	scelus	6	1	0.1045	60.9195	13	1.4
13	faveo	5	1	0.1045	61.024	13	1.4
13	probe	5	1	0.1045	61.1285	13	1.4
13	spero	5	1	0.1045	61.233	13	1.4
13	placet	6	1	0.1045	61.3375	13	1.4
13	dis	3	1	0.1045	61.442	13	1.4
13	it	2	1	0.1045	61.5465	13	1.4
13	narras	6	1	0.1045	61.651	13	1.4
13	otiosus	7	1	0.1045	61.7555	13	1.4
13	virgini	7	1	0.1045	61.86	13	1.4
13	habere	6	1	0.1045	61.9645	13	1.4
13	ite	3	1	0.1045	62.069	13	1.4
13	iamdudum	8	1	0.1045	62.1735	13	1.4
13	vos	3	1	0.1045	62.278	13	1.4
13	exspectat	9	1	0.1045	62.3824	13	1.4
13	domi	4	1	0.1045	62.4869	13	1.4
13	incedere	8	1	0.1045	62.5914	13	1.4
13	foras	5	1	0.1045	62.6959	13	1.4
13	virum	5	1	0.1045	62.8004	13	1.4
13	cognoscitne	11	1	0.1045	62.9049	13	1.4
13	meo	3	1	0.1045	63.0094	13	1.4
13	factis	6	1	0.1045	63.1139	13	1.4
13	post	4	1	0.1045	63.2184	13	1.4
13	dictis	6	1	0.1045	63.3229	13	1.4
13	istis	5	1	0.1045	63.4274	13	1.4
13	quidnam	7	1	0.1045	63.5319	13	1.4
13	sacrilegum	10	1	0.1045	63.6364	13	1.4
13	perterrebo	10	1	0.1045	63.7409	13	1.4
13	bonum	5	1	0.1045	63.8454	13	1.4
13	sacrilego	9	1	0.1045	63.9498	13	1.4
13	supposivit	10	1	0.1045	64.0543	13	1.4
13	iamne	5	1	0.1045	64.1588	13	1.4
13	excruciem	9	1	0.1045	64.2633	13	1.4
13	sciam	5	1	0.1045	64.3678	13	1.4
13	certum	6	1	0.1045	64.4723	13	1.4
13	ostendisti	10	1	0.1045	64.5768	13	1.4
13	cognitione	10	1	0.1045	64.6813	13	1.4
13	signa	5	1	0.1045	64.7858	13	1.4
13	nutrici	7	1	0.1045	64.8903	13	1.4
13	ibo	3	1	0.1045	64.9948	13	1.4
13	ait	3	1	0.1045	65.0993	13	1.4
13	minare	6	1	0.1045	65.2038	13	1.4
13	miseris	7	1	0.1045	65.3083	13	1.4
13	futura	6	1	0.1045	65.4127	13	1.4
13	quos	4	1	0.1045	65.5172	13	1.4
13	solent	6	1	0.1045	65.6217	13	1.4
13	senes	5	1	0.1045	65.7262	13	1.4
13	uti	3	1	0.1045	65.8307	13	1.4
13	pulsantem	9	1	0.1045	65.9352	13	1.4
13	flagitiis	9	1	0.1045	66.0397	13	1.4
13	ingredi	7	1	0.1045	66.1442	13	1.4
13	fecisti	7	1	0.1045	66.2487	13	1.4
13	sene	4	1	0.1045	66.3532	13	1.4
13	intus	5	1	0.1045	66.4577	13	1.4
13	praebueris	10	1	0.1045	66.5622	13	1.4
13	ludos	5	1	0.1045	66.6667	13	1.4
13	narrare	7	1	0.1045	66.7712	13	1.4
13	primo	5	1	0.1045	66.8757	13	1.4
13	possum	6	1	0.1045	66.9801	13	1.4
13	ah	2	1	0.1045	67.0846	13	1.4
13	videbo	6	1	0.1045	67.1891	13	1.4
13	nec	3	1	0.1045	67.2936	13	1.4
13	stultiorem	10	1	0.1045	67.3981	13	1.4
13	ridendo	7	1	0.1045	67.5026	13	1.4
13	sum	3	1	0.1045	67.6071	13	1.4
13	defessa	7	1	0.1045	67.7116	13	1.4
13	adibo	5	1	0.1045	67.8161	13	1.4
13	conveniam	9	1	0.1045	67.9206	13	1.4
13	eundem	6	1	0.1045	68.0251	13	1.4
13	indicas	7	1	0.1045	68.1296	13	1.4
13	nobilitas	9	1	0.1045	68.2341	13	1.4
13	callidum	8	1	0.1045	68.3386	13	1.4
13	scibam	6	1	0.1045	68.4431	13	1.4
13	patri	5	1	0.1045	68.5475	13	1.4
13	fortasse	8	1	0.1045	68.652	13	1.4
13	diem	4	1	0.1045	68.7565	13	1.4
13	nimium	6	1	0.1045	68.861	13	1.4
13	perisse	7	1	0.1045	68.9655	13	1.4
13	pendebi	7	1	0.1045	69.07	13	1.4
13	pater	5	1	0.1045	69.1745	13	1.4
13	indutum	7	1	0.1045	69.279	13	1.4
13	illam	5	1	0.1045	69.3835	13	1.4
13	animi	5	1	0.1045	69.488	13	1.4
13	credis	6	1	0.1045	69.5925	13	1.4
13	indicares	9	1	0.1045	69.697	13	1.4
13	stultum	7	1	0.1045	69.8015	13	1.4
13	miserum	7	1	0.1045	69.906	13	1.4
13	disertum	8	1	0.1045	70.0104	13	1.4
13	ni	2	1	0.1045	70.1149	13	1.4
13	adulescens	10	1	0.1045	70.2194	13	1.4
13	fecisset	8	1	0.1045	70.3239	13	1.4
13	auctore	7	1	0.1045	70.4284	13	1.4
13	flagiti	7	1	0.1045	70.5329	13	1.4
13	paenitebat	10	1	0.1045	70.6374	13	1.4
13	oportuit	8	1	0.1045	70.7419	13	1.4
13	dixi	4	1	0.1045	70.8464	13	1.4
13	ea	2	1	0.1045	70.9509	13	1.4
13	credere	7	1	0.1045	71.0554	13	1.4
13	ilicone	7	1	0.1045	71.1599	13	1.4
13	credidi	7	1	0.1045	71.2644	13	1.4
13	prodeo	6	1	0.1045	71.3689	13	1.4
13	timeret	7	1	0.1045	71.4734	13	1.4
13	dicunt	6	1	0.1045	71.5778	13	1.4
