rank	word	wordlength	count	frequency(count*100/2144)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	non	3	30	1.3993	1.3993	30	30
2	est	3	29	1.3526	2.7519	58	15
2	quid	4	29	1.3526	4.1045	58	15
3	ut	2	27	1.2593	5.3638	81	10
4	quod	4	26	1.2127	6.5765	104	7.5
5	et	2	25	1.166	7.7425	125	6
6	si	2	23	1.0728	8.8153	138	5
7	esse	4	22	1.0261	9.8414	154	4.3
7	in	2	22	1.0261	10.8675	154	4.3
8	nunc	4	20	0.9328	11.8004	160	3.8
8	tibi	4	20	0.9328	12.7332	160	3.8
9	te	2	19	0.8862	13.6194	171	3.3
10	id	2	18	0.8396	14.459	180	3
10	ad	2	18	0.8396	15.2985	180	3
10	ego	3	18	0.8396	16.1381	180	3
11	haec	4	16	0.7463	16.8843	176	2.7
12	tu	2	15	0.6996	17.584	180	2.5
12	me	2	15	0.6996	18.2836	180	2.5
13	quam	4	14	0.653	18.9366	182	2.3
14	iam	3	13	0.6063	19.5429	182	2.1
14	sed	3	13	0.6063	20.1493	182	2.1
15	mihi	4	12	0.5597	20.709	180	2
15	hic	3	12	0.5597	21.2687	180	2
15	hoc	3	12	0.5597	21.8284	180	2
16	nam	3	11	0.5131	22.3414	176	1.9
16	argentum	8	11	0.5131	22.8545	176	1.9
17	quo	3	10	0.4664	23.3209	170	1.8
17	hanc	4	10	0.4664	23.7873	170	1.8
17	quae	4	10	0.4664	24.2537	170	1.8
18	at	2	9	0.4198	24.6735	162	1.7
18	immo	4	9	0.4198	25.0933	162	1.7
18	ea	2	9	0.4198	25.5131	162	1.7
18	dum	3	9	0.4198	25.9328	162	1.7
18	res	3	9	0.4198	26.3526	162	1.7
19	de	2	8	0.3731	26.7257	152	1.6
19	qui	3	8	0.3731	27.0989	152	1.6
19	ne	2	8	0.3731	27.472	152	1.6
19	ita	3	8	0.3731	27.8451	152	1.6
19	nil	3	8	0.3731	28.2183	152	1.6
19	tua	3	8	0.3731	28.5914	152	1.6
19	hercle	6	8	0.3731	28.9646	152	1.6
20	istuc	5	7	0.3265	29.291	140	1.5
20	sit	3	7	0.3265	29.6175	140	1.5
20	senex	5	7	0.3265	29.944	140	1.5
20	verum	5	7	0.3265	30.2705	140	1.5
21	ex	2	6	0.2799	30.5504	126	1.4
21	huic	4	6	0.2799	30.8302	126	1.4
21	clinia	6	6	0.2799	31.1101	126	1.4
21	chreme	6	6	0.2799	31.3899	126	1.4
21	es	2	6	0.2799	31.6698	126	1.4
21	amicam	6	6	0.2799	31.9496	126	1.4
21	aut	3	6	0.2799	32.2295	126	1.4
21	vis	3	6	0.2799	32.5093	126	1.4
21	illi	4	6	0.2799	32.7892	126	1.4
21	sic	3	6	0.2799	33.069	126	1.4
22	sibi	4	5	0.2332	33.3022	110	1.4
22	sunt	4	5	0.2332	33.5354	110	1.4
22	quantum	7	5	0.2332	33.7687	110	1.4
22	quasi	5	5	0.2332	34.0019	110	1.4
22	dicam	5	5	0.2332	34.2351	110	1.4
22	tamen	5	5	0.2332	34.4683	110	1.4
22	a	1	5	0.2332	34.7015	110	1.4
22	factum	6	5	0.2332	34.9347	110	1.4
22	nisi	4	5	0.2332	35.1679	110	1.4
22	mi	2	5	0.2332	35.4011	110	1.4
22	clitipho	8	5	0.2332	35.6343	110	1.4
22	tuam	4	5	0.2332	35.8675	110	1.4
22	ubi	3	5	0.2332	36.1007	110	1.4
22	rem	3	5	0.2332	36.334	110	1.4
22	mane	4	5	0.2332	36.5672	110	1.4
22	hac	3	5	0.2332	36.8004	110	1.4
22	eius	4	5	0.2332	37.0336	110	1.4
23	sis	3	4	0.1866	37.2201	92	1.3
23	sine	4	4	0.1866	37.4067	92	1.3
23	opinor	6	4	0.1866	37.5933	92	1.3
23	recte	5	4	0.1866	37.7799	92	1.3
23	equidem	7	4	0.1866	37.9664	92	1.3
23	hunc	4	4	0.1866	38.153	92	1.3
23	neque	5	4	0.1866	38.3396	92	1.3
23	uti	3	4	0.1866	38.5261	92	1.3
23	perii	5	4	0.1866	38.7127	92	1.3
23	dico	4	4	0.1866	38.8993	92	1.3
23	sane	4	4	0.1866	39.0858	92	1.3
23	ei	2	4	0.1866	39.2724	92	1.3
23	tam	3	4	0.1866	39.459	92	1.3
23	primum	6	4	0.1866	39.6455	92	1.3
23	vero	4	4	0.1866	39.8321	92	1.3
23	vah	3	4	0.1866	40.0187	92	1.3
23	illam	5	4	0.1866	40.2052	92	1.3
23	re	2	4	0.1866	40.3918	92	1.3
23	nos	3	4	0.1866	40.5784	92	1.3
23	aliud	5	4	0.1866	40.7649	92	1.3
23	quin	4	4	0.1866	40.9515	92	1.3
23	eum	3	4	0.1866	41.1381	92	1.3
23	heus	4	4	0.1866	41.3246	92	1.3
23	illis	5	4	0.1866	41.5112	92	1.3
23	dromo	5	4	0.1866	41.6978	92	1.3
23	abi	3	4	0.1866	41.8843	92	1.3
23	patrem	6	4	0.1866	42.0709	92	1.3
23	nobis	5	4	0.1866	42.2575	92	1.3
23	tuom	4	4	0.1866	42.444	92	1.3
23	apud	4	4	0.1866	42.6306	92	1.3
23	quoque	6	4	0.1866	42.8172	92	1.3
23	vide	4	4	0.1866	43.0037	92	1.3
23	ac	2	4	0.1866	43.1903	92	1.3
23	uxorem	6	4	0.1866	43.3769	92	1.3
23	quom	4	4	0.1866	43.5634	92	1.3
23	ipsa	4	4	0.1866	43.75	92	1.3
23	haud	4	4	0.1866	43.9366	92	1.3
24	hem	3	3	0.1399	44.0765	72	1.3
24	ipsum	5	3	0.1399	44.2164	72	1.3
24	illa	4	3	0.1399	44.3563	72	1.3
24	bacchidem	9	3	0.1399	44.4963	72	1.3
24	fieri	5	3	0.1399	44.6362	72	1.3
24	tum	3	3	0.1399	44.7761	72	1.3
24	causa	5	3	0.1399	44.916	72	1.3
24	homini	6	3	0.1399	45.056	72	1.3
24	verba	5	3	0.1399	45.1959	72	1.3
24	eam	3	3	0.1399	45.3358	72	1.3
24	siquid	6	3	0.1399	45.4757	72	1.3
24	istic	5	3	0.1399	45.6157	72	1.3
24	modo	4	3	0.1399	45.7556	72	1.3
24	una	3	3	0.1399	45.8955	72	1.3
24	quia	4	3	0.1399	46.0354	72	1.3
24	credo	5	3	0.1399	46.1754	72	1.3
24	dudum	5	3	0.1399	46.3153	72	1.3
24	hinc	4	3	0.1399	46.4552	72	1.3
24	nequid	6	3	0.1399	46.5951	72	1.3
24	habeo	5	3	0.1399	46.7351	72	1.3
24	ob	2	3	0.1399	46.875	72	1.3
24	maxume	6	3	0.1399	47.0149	72	1.3
24	num	3	3	0.1399	47.1549	72	1.3
24	porro	5	3	0.1399	47.2948	72	1.3
24	velle	5	3	0.1399	47.4347	72	1.3
24	miror	5	3	0.1399	47.5746	72	1.3
24	erit	4	3	0.1399	47.7146	72	1.3
24	fuit	4	3	0.1399	47.8545	72	1.3
24	idem	4	3	0.1399	47.9944	72	1.3
24	eo	2	3	0.1399	48.1343	72	1.3
24	illum	5	3	0.1399	48.2743	72	1.3
24	atque	5	3	0.1399	48.4142	72	1.3
24	foras	5	3	0.1399	48.5541	72	1.3
24	video	5	3	0.1399	48.694	72	1.3
24	illuc	5	3	0.1399	48.834	72	1.3
24	nostro	6	3	0.1399	48.9739	72	1.3
24	iube	4	3	0.1399	49.1138	72	1.3
24	forte	5	3	0.1399	49.2537	72	1.3
24	scio	4	3	0.1399	49.3937	72	1.3
24	licet	5	3	0.1399	49.5336	72	1.3
24	atqui	5	3	0.1399	49.6735	72	1.3
24	scias	5	3	0.1399	49.8134	72	1.3
24	filiam	6	3	0.1399	49.9534	72	1.3
24	argento	7	3	0.1399	50.0933	72	1.3
24	secum	5	3	0.1399	50.2332	72	1.3
24	rerum	5	3	0.1399	50.3731	72	1.3
24	huc	3	3	0.1399	50.5131	72	1.3
24	menedemum	9	3	0.1399	50.653	72	1.3
24	clitiphonis	11	3	0.1399	50.7929	72	1.3
24	eadem	5	3	0.1399	50.9328	72	1.3
24	anu	3	3	0.1399	51.0728	72	1.3
24	vera	4	3	0.1399	51.2127	72	1.3
24	continuo	8	3	0.1399	51.3526	72	1.3
24	quidem	6	3	0.1399	51.4925	72	1.3
25	magis	5	2	0.0933	51.5858	50	1.2
25	optume	6	2	0.0933	51.6791	50	1.2
25	da	2	2	0.0933	51.7724	50	1.2
25	amica	5	2	0.0933	51.8657	50	1.2
25	habet	5	2	0.0933	51.959	50	1.2
25	lubet	5	2	0.0933	52.0522	50	1.2
25	iamdudum	8	2	0.0933	52.1455	50	1.2
25	pollicitus	10	2	0.0933	52.2388	50	1.2
25	vos	3	2	0.0933	52.3321	50	1.2
25	via	3	2	0.0933	52.4254	50	1.2
25	loquitur	8	2	0.0933	52.5187	50	1.2
25	istanc	6	2	0.0933	52.6119	50	1.2
25	dabit	5	2	0.0933	52.7052	50	1.2
25	is	2	2	0.0933	52.7985	50	1.2
25	scies	5	2	0.0933	52.8918	50	1.2
25	iniuria	7	2	0.0933	52.9851	50	1.2
25	quidni	6	2	0.0933	53.0784	50	1.2
25	dixi	4	2	0.0933	53.1716	50	1.2
25	acta	4	2	0.0933	53.2649	50	1.2
25	fallacia	8	2	0.0933	53.3582	50	1.2
25	aliquid	7	2	0.0933	53.4515	50	1.2
25	ere	3	2	0.0933	53.5448	50	1.2
25	palam	5	2	0.0933	53.6381	50	1.2
25	nescioquid	10	2	0.0933	53.7313	50	1.2
25	amare	5	2	0.0933	53.8246	50	1.2
25	visa	4	2	0.0933	53.9179	50	1.2
25	egon	4	2	0.0933	54.0112	50	1.2
25	siquidem	8	2	0.0933	54.1045	50	1.2
25	cliniam	7	2	0.0933	54.1978	50	1.2
25	volo	4	2	0.0933	54.291	50	1.2
25	potest	6	2	0.0933	54.3843	50	1.2
25	cum	3	2	0.0933	54.4776	50	1.2
25	gnati	5	2	0.0933	54.5709	50	1.2
25	exit	4	2	0.0933	54.6642	50	1.2
25	illo	4	2	0.0933	54.7575	50	1.2
25	omnes	5	2	0.0933	54.8507	50	1.2
25	bona	4	2	0.0933	54.944	50	1.2
25	tutum	5	2	0.0933	55.0373	50	1.2
25	multum	6	2	0.0933	55.1306	50	1.2
25	mille	5	2	0.0933	55.2239	50	1.2
25	aberit	6	2	0.0933	55.3172	50	1.2
25	egreditur	9	2	0.0933	55.4104	50	1.2
25	etiam	5	2	0.0933	55.5037	50	1.2
25	fiat	4	2	0.0933	55.597	50	1.2
25	scis	4	2	0.0933	55.6903	50	1.2
25	ibi	3	2	0.0933	55.7836	50	1.2
25	adhuc	5	2	0.0933	55.8769	50	1.2
25	possum	6	2	0.0933	55.9701	50	1.2
25	mentem	6	2	0.0933	56.0634	50	1.2
25	scite	5	2	0.0933	56.1567	50	1.2
25	sese	4	2	0.0933	56.25	50	1.2
25	narret	6	2	0.0933	56.3433	50	1.2
25	quendam	7	2	0.0933	56.4366	50	1.2
25	ille	4	2	0.0933	56.5299	50	1.2
25	an	2	2	0.0933	56.6231	50	1.2
25	facito	6	2	0.0933	56.7164	50	1.2
25	animum	6	2	0.0933	56.8097	50	1.2
25	inopia	6	2	0.0933	56.903	50	1.2
25	esset	5	2	0.0933	56.9963	50	1.2
25	inquam	6	2	0.0933	57.0896	50	1.2
25	quaeso	6	2	0.0933	57.1828	50	1.2
25	autem	5	2	0.0933	57.2761	50	1.2
25	sequere	7	2	0.0933	57.3694	50	1.2
25	male	4	2	0.0933	57.4627	50	1.2
25	cito	4	2	0.0933	57.556	50	1.2
25	tempore	7	2	0.0933	57.6493	50	1.2
25	sapias	6	2	0.0933	57.7425	50	1.2
25	usque	5	2	0.0933	57.8358	50	1.2
25	dabitur	7	2	0.0933	57.9291	50	1.2
25	metui	5	2	0.0933	58.0224	50	1.2
25	ibo	3	2	0.0933	58.1157	50	1.2
25	amici	5	2	0.0933	58.209	50	1.2
25	conlocetur	10	2	0.0933	58.3022	50	1.2
25	magnifice	9	2	0.0933	58.3955	50	1.2
25	age	3	2	0.0933	58.4888	50	1.2
25	ambos	5	2	0.0933	58.5821	50	1.2
25	hodie	5	2	0.0933	58.6754	50	1.2
25	tui	3	2	0.0933	58.7687	50	1.2
25	dic	3	2	0.0933	58.8619	50	1.2
25	huiu	4	2	0.0933	58.9552	50	1.2
25	tantum	6	2	0.0933	59.0485	50	1.2
25	quicquam	8	2	0.0933	59.1418	50	1.2
25	scin	4	2	0.0933	59.2351	50	1.2
25	mea	3	2	0.0933	59.3284	50	1.2
25	evenerit	8	2	0.0933	59.4216	50	1.2
25	ipse	4	2	0.0933	59.5149	50	1.2
25	sodes	5	2	0.0933	59.6082	50	1.2
25	tuto	4	2	0.0933	59.7015	50	1.2
25	simile	6	2	0.0933	59.7948	50	1.2
25	meretrix	8	2	0.0933	59.8881	50	1.2
25	omnem	5	2	0.0933	59.9813	50	1.2
25	fit	3	2	0.0933	60.0746	50	1.2
25	facinu	6	2	0.0933	60.1679	50	1.2
25	nec	3	2	0.0933	60.2612	50	1.2
25	aurum	5	2	0.0933	60.3545	50	1.2
25	vestem	6	2	0.0933	60.4478	50	1.2
25	magnum	6	2	0.0933	60.541	50	1.2
25	accipis	7	2	0.0933	60.6343	50	1.2
25	stas	4	2	0.0933	60.7276	50	1.2
25	animu	5	2	0.0933	60.8209	50	1.2
25	periclo	7	2	0.0933	60.9142	50	1.2
25	obviam	6	2	0.0933	61.0075	50	1.2
25	scilicet	8	2	0.0933	61.1007	50	1.2
25	sum	3	2	0.0933	61.194	50	1.2
25	coepi	5	2	0.0933	61.2873	50	1.2
25	anus	4	2	0.0933	61.3806	50	1.2
25	tuo	3	2	0.0933	61.4739	50	1.2
25	pax	3	2	0.0933	61.5672	50	1.2
25	huius	5	2	0.0933	61.6604	50	1.2
25	post	4	2	0.0933	61.7537	50	1.2
25	di	2	2	0.0933	61.847	50	1.2
25	mulier	6	2	0.0933	61.9403	50	1.2
25	suam	4	2	0.0933	62.0336	50	1.2
25	erat	4	2	0.0933	62.1269	50	1.2
25	interea	7	2	0.0933	62.2201	50	1.2
25	intro	5	2	0.0933	62.3134	50	1.2
25	nulla	5	2	0.0933	62.4067	50	1.2
25	se	2	2	0.0933	62.5	50	1.2
25	pater	5	2	0.0933	62.5933	50	1.2
25	narrat	6	2	0.0933	62.6866	50	1.2
25	potuit	6	2	0.0933	62.7799	50	1.2
25	telam	5	2	0.0933	62.8731	50	1.2
25	audivi	6	2	0.0933	62.9664	50	1.2
25	enim	4	2	0.0933	63.0597	50	1.2
25	quaedam	7	2	0.0933	63.153	50	1.2
25	facile	6	2	0.0933	63.2463	50	1.2
26	nolo	4	1	0.0466	63.2929	26	1.2
26	filiis	6	1	0.0466	63.3396	26	1.2
26	celata	6	1	0.0466	63.3862	26	1.2
26	celabitur	9	1	0.0466	63.4328	26	1.2
26	mentiare	8	1	0.0466	63.4795	26	1.2
26	abduxeris	9	1	0.0466	63.5261	26	1.2
26	peccato	7	1	0.0466	63.5728	26	1.2
26	specta	6	1	0.0466	63.6194	26	1.2
26	itidem	6	1	0.0466	63.666	26	1.2
26	matres	6	1	0.0466	63.7127	26	1.2
26	aperte	6	1	0.0466	63.7593	26	1.2
26	adest	5	1	0.0466	63.806	26	1.2
26	ilico	5	1	0.0466	63.8526	26	1.2
26	suspicionem	11	1	0.0466	63.8993	26	1.2
26	vicissim	8	1	0.0466	63.9459	26	1.2
26	profer	6	1	0.0466	63.9925	26	1.2
26	videnda	7	1	0.0466	64.0392	26	1.2
26	quaere	6	1	0.0466	64.0858	26	1.2
26	quiesce	7	1	0.0466	64.1325	26	1.2
26	sicin	5	1	0.0466	64.1791	26	1.2
26	interloquere	12	1	0.0466	64.2257	26	1.2
26	fero	4	1	0.0466	64.2724	26	1.2
26	frustra	7	1	0.0466	64.319	26	1.2
26	operam	6	1	0.0466	64.3657	26	1.2
26	resciscet	9	1	0.0466	64.4123	26	1.2
26	sumo	4	1	0.0466	64.459	26	1.2
26	ages	4	1	0.0466	64.5056	26	1.2
26	videndumst	10	1	0.0466	64.5522	26	1.2
26	solent	6	1	0.0466	64.5989	26	1.2
26	paterna	7	1	0.0466	64.6455	26	1.2
26	narrato	7	1	0.0466	64.6922	26	1.2
26	auxilio	7	1	0.0466	64.7388	26	1.2
26	adiutrices	10	1	0.0466	64.7854	26	1.2
26	abis	4	1	0.0466	64.8321	26	1.2
26	relinquis	9	1	0.0466	64.8787	26	1.2
26	putas	5	1	0.0466	64.9254	26	1.2
26	vim	3	1	0.0466	64.972	26	1.2
26	iubeo	5	1	0.0466	65.0187	26	1.2
26	adsimularier	12	1	0.0466	65.0653	26	1.2
26	istam	5	1	0.0466	65.1119	26	1.2
26	credat	6	1	0.0466	65.1586	26	1.2
26	malum	5	1	0.0466	65.2052	26	1.2
26	indulgebant	11	1	0.0466	65.2519	26	1.2
26	aetatem	7	1	0.0466	65.2985	26	1.2
26	propior	7	1	0.0466	65.3451	26	1.2
26	censes	6	1	0.0466	65.3918	26	1.2
26	delectatio	10	1	0.0466	65.4384	26	1.2
26	unus	4	1	0.0466	65.4851	26	1.2
26	dabant	6	1	0.0466	65.5317	26	1.2
26	dies	4	1	0.0466	65.5784	26	1.2
26	alia	4	1	0.0466	65.625	26	1.2
26	solu	4	1	0.0466	65.6716	26	1.2
26	eripio	6	1	0.0466	65.7183	26	1.2
26	amplius	7	1	0.0466	65.7649	26	1.2
26	redeo	5	1	0.0466	65.8116	26	1.2
26	illos	5	1	0.0466	65.8582	26	1.2
26	aiunt	5	1	0.0466	65.9049	26	1.2
26	voster	6	1	0.0466	65.9515	26	1.2
26	fallam	6	1	0.0466	65.9981	26	1.2
26	iratum	6	1	0.0466	66.0448	26	1.2
26	nulli	5	1	0.0466	66.0914	26	1.2
26	recta	5	1	0.0466	66.1381	26	1.2
26	peccatum	8	1	0.0466	66.1847	26	1.2
26	expellerent	11	1	0.0466	66.2313	26	1.2
26	ordine	6	1	0.0466	66.278	26	1.2
26	consilio	8	1	0.0466	66.3246	26	1.2
26	palmam	6	1	0.0466	66.3713	26	1.2
26	do	2	1	0.0466	66.4179	26	1.2
26	ecfero	6	1	0.0466	66.4646	26	1.2
26	tantam	6	1	0.0466	66.5112	26	1.2
26	filia	5	1	0.0466	66.5578	26	1.2
26	potestatem	10	1	0.0466	66.6045	26	1.2
26	habeam	6	1	0.0466	66.6511	26	1.2
26	tantae	6	1	0.0466	66.6978	26	1.2
26	astutiae	8	1	0.0466	66.7444	26	1.2
26	inventast	9	1	0.0466	66.791	26	1.2
26	inventa	7	1	0.0466	66.8377	26	1.2
