rank	word	wordlength	count	frequenz(count*100/227)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	et	2	5	2.2026	2.2026	5	5
2	qui	3	4	1.7621	3.9648	8	2.5
2	non	3	4	1.7621	5.7269	8	2.5
2	si	2	4	1.7621	7.489	8	2.5
3	esse	4	3	1.3216	8.8106	9	1.7
3	per	3	3	1.3216	10.1322	9	1.7
3	sibi	4	3	1.3216	11.4537	9	1.7
3	quom	4	3	1.3216	12.7753	9	1.7
3	nunc	4	3	1.3216	14.0969	9	1.7
3	quam	4	3	1.3216	15.4185	9	1.7
3	quem	4	3	1.3216	16.7401	9	1.7
4	hoc	3	2	0.8811	17.6211	8	1.3
4	finem	5	2	0.8811	18.5022	8	1.3
4	fabulas	7	2	0.8811	19.3833	8	1.3
4	mage	4	2	0.8811	20.2643	8	1.3
4	diceret	7	2	0.8811	21.1454	8	1.3
4	quod	4	2	0.8811	22.0264	8	1.3
4	de	2	2	0.8811	22.9075	8	1.3
4	poeta	5	2	0.8811	23.7885	8	1.3
4	illo	4	2	0.8811	24.6696	8	1.3
4	vostra	6	2	0.8811	25.5507	8	1.3
4	quia	4	2	0.8811	26.4317	8	1.3
4	atque	5	2	0.8811	27.3128	8	1.3
4	is	2	2	0.8811	28.1938	8	1.3
4	ad	2	2	0.8811	29.0749	8	1.3
4	hic	3	2	0.8811	29.9559	8	1.3
4	vetu	4	2	0.8811	30.837	8	1.3
4	in	2	2	0.8811	31.7181	8	1.3
4	ne	2	2	0.8811	32.5991	8	1.3
4	studio	6	2	0.8811	33.4802	8	1.3
4	poetam	6	2	0.8811	34.3612	8	1.3
4	a	1	2	0.8811	35.2423	8	1.3
4	quas	4	2	0.8811	36.1233	8	1.3
5	benedictis	10	1	0.4405	36.5639	5	1
5	dicundi	7	1	0.4405	37.0044	5	1
5	novam	5	1	0.4405	37.4449	5	1
5	adporto	7	1	0.4405	37.8855	5	1
5	attendite	9	1	0.4405	38.326	5	1
5	reicere	7	1	0.4405	38.7665	5	1
5	animum	6	1	0.4405	39.207	5	1
5	locum	5	1	0.4405	39.6476	5	1
5	velim	5	1	0.4405	40.0881	5	1
5	quid	4	1	0.4405	40.5286	5	1
5	facit	5	1	0.4405	40.9692	5	1
5	se	2	1	0.4405	41.4097	5	1
5	ipse	4	1	0.4405	41.8502	5	1
5	peccandi	8	1	0.4405	42.2907	5	1
5	mihi	4	1	0.4405	42.7313	5	1
5	respondere	10	1	0.4405	43.1718	5	1
5	certasset	9	1	0.4405	43.6123	5	1
5	faciam	6	1	0.4405	44.0529	5	1
5	iam	3	1	0.4405	44.4934	5	1
5	epidicazomenon	14	1	0.4405	44.9339	5	1
5	bonitasque	10	1	0.4405	45.3744	5	1
5	adiutans	8	1	0.4405	45.815	5	1
5	putet	5	1	0.4405	46.2555	5	1
5	rellatum	8	1	0.4405	46.696	5	1
5	adlatumst	9	1	0.4405	47.1366	5	1
5	voluit	6	1	0.4405	47.5771	5	1
5	lacessere	9	1	0.4405	48.0176	5	1
5	ab	2	1	0.4405	48.4581	5	1
5	bene	4	1	0.4405	48.8987	5	1
5	audisset	8	1	0.4405	49.3392	5	1
5	sumus	5	1	0.4405	49.7797	5	1
5	comoediam	9	1	0.4405	50.2203	5	1
5	vocant	6	1	0.4405	50.6608	5	1
5	animo	5	1	0.4405	51.1013	5	1
5	grex	4	1	0.4405	51.5419	5	1
5	accesserit	10	1	0.4405	51.9824	5	1
5	date	4	1	0.4405	52.4229	5	1
5	operam	6	1	0.4405	52.8634	5	1
5	adeste	6	1	0.4405	53.304	5	1
5	aequo	5	1	0.4405	53.7445	5	1
5	silentium	9	1	0.4405	54.185	5	1
5	maxume	6	1	0.4405	54.6256	5	1
5	simili	6	1	0.4405	55.0661	5	1
5	noster	6	1	0.4405	55.5066	5	1
5	utamur	6	1	0.4405	55.9471	5	1
5	fortuna	7	1	0.4405	56.3877	5	1
5	tumultum	8	1	0.4405	56.8282	5	1
5	usi	3	1	0.4405	57.2687	5	1
5	voluntas	8	1	0.4405	57.7093	5	1
5	geretur	7	1	0.4405	58.1498	5	1
5	restituit	9	1	0.4405	58.5903	5	1
5	partis	6	1	0.4405	59.0308	5	1
5	graeci	6	1	0.4405	59.4714	5	1
5	latini	6	1	0.4405	59.9119	5	1
5	phormionem	10	1	0.4405	60.3524	5	1
5	nominant	8	1	0.4405	60.793	5	1
5	nobis	5	1	0.4405	61.2335	5	1
5	primas	6	1	0.4405	61.674	5	1
5	aget	4	1	0.4405	62.1145	5	1
5	res	3	1	0.4405	62.5551	5	1
5	erit	4	1	0.4405	62.9956	5	1
5	phormio	7	1	0.4405	63.4361	5	1
5	virtus	6	1	0.4405	63.8767	5	1
5	studuit	7	1	0.4405	64.3172	5	1
5	actori	6	1	0.4405	64.7577	5	1
5	locost	6	1	0.4405	65.1982	5	1
5	motus	5	1	0.4405	65.6388	5	1
5	parasitu	8	1	0.4405	66.0793	5	1
5	postquam	8	1	0.4405	66.5198	5	1
5	hunc	4	1	0.4405	66.9604	5	1
5	canes	5	1	0.4405	67.4009	5	1
5	scripsit	8	1	0.4405	67.8414	5	1
5	adulescentulum	14	1	0.4405	68.2819	5	1
5	cervam	6	1	0.4405	68.7225	5	1
5	videre	6	1	0.4405	69.163	5	1
5	fugere	6	1	0.4405	69.6035	5	1
5	sectari	7	1	0.4405	70.0441	5	1
5	eam	3	1	0.4405	70.4846	5	1
5	nusquam	7	1	0.4405	70.9251	5	1
5	plorare	7	1	0.4405	71.3656	5	1
5	orare	5	1	0.4405	71.8062	5	1
5	ut	2	1	0.4405	72.2467	5	1
5	subveniat	9	1	0.4405	72.6872	5	1
5	intellegeret	12	1	0.4405	73.1278	5	1
5	stetit	6	1	0.4405	73.5683	5	1
5	olim	4	1	0.4405	74.0088	5	1
5	insanum	7	1	0.4405	74.4493	5	1
5	levi	4	1	0.4405	74.8899	5	1
5	actoris	7	1	0.4405	75.3304	5	1
5	deterrere	9	1	0.4405	75.7709	5	1
5	potest	6	1	0.4405	76.2115	5	1
5	retrahere	9	1	0.4405	76.652	5	1
5	transdere	9	1	0.4405	77.0925	5	1
5	hominem	7	1	0.4405	77.533	5	1
5	otium	5	1	0.4405	77.9736	5	1
5	maledictis	10	1	0.4405	78.4141	5	1
5	scribat	7	1	0.4405	78.8546	5	1
5	scriptura	9	1	0.4405	79.2952	5	1
5	parat	5	1	0.4405	79.7357	5	1
5	ita	3	1	0.4405	80.1762	5	1
5	dictitat	8	1	0.4405	80.6167	5	1
5	ante	4	1	0.4405	81.0573	5	1
5	fecit	5	1	0.4405	81.4978	5	1
5	tenui	5	1	0.4405	81.9383	5	1
5	oratione	8	1	0.4405	82.3789	5	1
5	nova	4	1	0.4405	82.8194	5	1
5	opera	5	1	0.4405	83.2599	5	1
5	famem	5	1	0.4405	83.7004	5	1
5	habeat	6	1	0.4405	84.141	5	1
5	novos	5	1	0.4405	84.5815	5	1
5	nisi	4	1	0.4405	85.022	5	1
5	haberet	7	1	0.4405	85.4626	5	1
5	cui	3	1	0.4405	85.9031	5	1
5	male	4	1	0.4405	86.3436	5	1
5	responsum	9	1	0.4405	86.7841	5	1
5	medio	5	1	0.4405	87.2247	5	1
5	prologum	8	1	0.4405	87.6652	5	1
5	omnibus	7	1	0.4405	88.1057	5	1
5	palmam	6	1	0.4405	88.5463	5	1
5	positam	7	1	0.4405	88.9868	5	1
5	artem	5	1	0.4405	89.4273	5	1
5	tractent	8	1	0.4405	89.8678	5	1
5	musicam	7	1	0.4405	90.3084	5	1
5	ille	4	1	0.4405	90.7489	5	1
5	potuisset	9	1	0.4405	91.1894	5	1
5	invenire	8	1	0.4405	91.63	5	1
5	stetisse	8	1	0.4405	92.0705	5	1
5	fecisset	8	1	0.4405	92.511	5	1
5	sua	3	1	0.4405	92.9515	5	1
5	minu	4	1	0.4405	93.3921	5	1
5	multo	5	1	0.4405	93.8326	5	1
5	audacter	8	1	0.4405	94.2731	5	1
5	laedit	6	1	0.4405	94.7137	5	1
5	laederet	8	1	0.4405	95.1542	5	1
5	placerent	9	1	0.4405	95.5947	5	1
5	siquis	6	1	0.4405	96.0352	5	1
5	nullum	6	1	0.4405	96.4758	5	1
5	est	3	1	0.4405	96.9163	5	1
5	dicat	5	1	0.4405	97.3568	5	1
5	aut	3	1	0.4405	97.7974	5	1
5	sic	3	1	0.4405	98.2379	5	1
5	cogitet	7	1	0.4405	98.6784	5	1
5	lacessisset	11	1	0.4405	99.1189	5	1
5	prior	5	1	0.4405	99.5595	5	1
5	aequanimitas	12	1	0.4405	100	5	1
